id;date;store;rating;criterion;status
1;5/1/2014;Магазин 2;10;Да;Завершено
2;5/1/2014;Магазин 4;9;Да;Завершено
3;5/1/2014;Магазин 2;10;Да;Завершено
4;5/1/2014;Магазин 4;9;Да;Завершено
5;5/1/2014;Магазин 4;;;Отказ
6;5/1/2014;Магазин 4;10;Да;Завершено
7;5/1/2014;Магазин 2;9;Да;Завершено
8;5/1/2014;Магазин 4;10;Да;Завершено
9;5/1/2014;Магазин 4;;;Отказ
10;5/1/2014;Магазин 4;7;Да;Завершено
11;5/1/2014;Магазин 1;9;Да;Завершено
12;5/1/2014;Магазин 4;8;Да;Завершено
13;5/2/2014;Магазин 1;9;Да;Завершено
14;5/1/2014;Магазин 4;8;Да;Завершено
15;5/1/2014;Магазин 4;10;Да;Завершено
16;5/1/2014;Магазин 4;10;Да;Завершено
17;5/1/2014;Магазин 4;8;Да;Завершено
18;5/1/2014;Магазин 4;10;Да;Завершено
19;5/1/2014;Магазин 4;10;Да;Завершено
20;5/1/2014;Магазин 4;;;Отказ
21;5/1/2014;Магазин 2;10;Да;Завершено
22;5/1/2014;Магазин 4;;;Отказ
23;5/1/2014;Магазин 4;;;Отказ
24;5/1/2014;Магазин 1;9;Да;Завершено
25;5/2/2014;Магазин 2;;;Отказ
26;5/1/2014;Магазин 4;;;Отказ
27;5/1/2014;Магазин 2;9;Да;Завершено
28;5/1/2014;Магазин 2;9;Да;Завершено
29;5/1/2014;Магазин 4;10;Да;Завершено
30;5/1/2014;Магазин 4;9;Да;Завершено
31;5/1/2014;Магазин 4;9;Да;Завершено
32;5/1/2014;Магазин 4;9;Да;Завершено
33;5/1/2014;Магазин 4;;;Отказ
34;5/1/2014;Магазин 1;;;Отказ
35;5/1/2014;Магазин 2;4;Да;Завершено
36;5/2/2014;Магазин 2;;;Отказ
37;5/1/2014;Магазин 4;10;Да;Завершено
38;5/1/2014;Магазин 4;9;Да;Завершено
39;5/1/2014;Магазин 4;7;Да;Завершено
40;5/1/2014;Магазин 4;9;Да;Завершено
41;5/1/2014;Магазин 4;10;Да;Завершено
42;5/1/2014;Магазин 4;8;Да;Завершено
43;5/1/2014;Магазин 2;;;Отказ
44;5/1/2014;Магазин 4;9;Да;Завершено
45;5/1/2014;Магазин 4;9;Да;Завершено
46;5/1/2014;Магазин 4;;;Отказ
47;5/1/2014;Магазин 4;;;Отказ
48;5/1/2014;Магазин 4;9;Да;Завершено
49;5/2/2014;Магазин 2;7;Да;Завершено
50;5/1/2014;Магазин 2;;;Отказ
51;5/1/2014;Магазин 4;10;Да;Завершено
52;5/1/2014;Магазин 2;;;Отказ
53;5/1/2014;Магазин 4;10;Да;Завершено
54;5/1/2014;Магазин 2;8;Да;Завершено
55;5/1/2014;Магазин 4;;;Отказ
56;5/1/2014;Магазин 4;10;Да;Завершено
57;5/1/2014;Магазин 4;;;Отказ
58;5/1/2014;Магазин 2;;;Отказ
59;5/1/2014;Магазин 2;;;Отказ
60;5/1/2014;Магазин 3;8;Да;Завершено
61;5/1/2014;Магазин 4;10;Да;Завершено
62;5/1/2014;Магазин 2;;;Отказ
63;5/1/2014;Магазин 4;;;Отказ
64;5/1/2014;Магазин 2;З/О;Нет;Завершено
65;5/1/2014;Магазин 2;;;Отказ
66;5/1/2014;Магазин 2;5;Нет;Завершено
67;5/1/2014;Магазин 2;9;Да;Завершено
68;5/2/2014;Магазин 2;10;Да;Завершено
69;5/2/2014;Магазин 4;З/О;Нет;Завершено
70;5/2/2014;Магазин 4;;;Отказ
71;5/1/2014;Магазин 3;10;Да;Завершено
72;5/1/2014;Магазин 4;;;Отказ
73;5/1/2014;Магазин 4;10;Да;Завершено
74;5/2/2014;Магазин 4;;;Отказ
75;5/1/2014;Магазин 3;;;Отказ
76;5/2/2014;Магазин 4;;;Отказ
77;5/2/2014;Магазин 4;9;Да;Завершено
78;5/2/2014;Магазин 4;9;Да;Завершено
79;5/1/2014;Магазин 1;;;Отказ
80;5/2/2014;Магазин 4;10;Да;Завершено
81;5/1/2014;Магазин 4;9;Да;Завершено
82;5/1/2014;Магазин 3;9;Да;Завершено
83;5/2/2014;Магазин 4;9;Да;Завершено
84;5/1/2014;Магазин 1;;;Отказ
85;5/2/2014;Магазин 2;2;Нет;Завершено
86;5/2/2014;Магазин 4;;;Отказ
87;5/2/2014;Магазин 4;;;Отказ
88;5/1/2014;Магазин 3;;;Отказ
89;5/2/2014;Магазин 4;;;Отказ
90;5/2/2014;Магазин 2;7;Да;Завершено
91;5/1/2014;Магазин 4;;;Отказ
92;5/2/2014;Магазин 2;;;Отказ
93;5/1/2014;Магазин 1;10;Да;Завершено
94;5/1/2014;Магазин 3;10;Да;Завершено
95;5/2/2014;Магазин 4;4;Нет;Завершено
96;5/2/2014;Магазин 4;10;Да;Завершено
97;5/2/2014;Магазин 4;;;Отказ
98;5/2/2014;Магазин 4;10;Да;Завершено
99;5/2/2014;Магазин 4;9;Да;Завершено
100;5/1/2014;Магазин 3;9;Да;Завершено
101;5/1/2014;Магазин 1;;;Отказ
102;5/2/2014;Магазин 4;4;Да;Завершено
103;5/2/2014;Магазин 2;10;Да;Завершено
104;5/1/2014;Магазин 1;2;Нет;Завершено
105;5/1/2014;Магазин 3;;;Отказ
106;5/2/2014;Магазин 4;;;Отказ
107;5/2/2014;Магазин 4;10;Да;Завершено
108;5/2/2014;Магазин 4;З/О;Да;Завершено
109;5/2/2014;Магазин 4;10;Да;Завершено
110;5/2/2014;Магазин 4;8;Да;Завершено
111;5/2/2014;Магазин 4;З/О;Да;Завершено
112;5/2/2014;Магазин 2;;;Отказ
113;5/2/2014;Магазин 4;9;Да;Завершено
114;5/1/2014;Магазин 3;;;Отказ
115;5/1/2014;Магазин 3;7;Да;Завершено
116;5/2/2014;Магазин 4;З/О;Да;Завершено
117;5/2/2014;Магазин 2;9;Да;Завершено
118;5/2/2014;Магазин 4;;;Отказ
119;5/1/2014;Магазин 3;10;Да;Завершено
120;5/2/2014;Магазин 4;9;Да;Завершено
121;5/1/2014;Магазин 3;8;Да;Завершено
122;5/2/2014;Магазин 1;10;З/О;Завершено
123;5/2/2014;Магазин 4;;;Отказ
124;5/1/2014;Магазин 3;9;Да;Завершено
125;5/2/2014;Магазин 4;;;Отказ
126;5/2/2014;Магазин 2;8;Да;Завершено
127;5/1/2014;Магазин 3;;;Отказ
128;5/2/2014;Магазин 4;8;Да;Завершено
129;5/2/2014;Магазин 4;10;Да;Завершено
130;5/1/2014;Магазин 1;;;Отказ
131;5/1/2014;Магазин 1;9;Да;Завершено
132;5/2/2014;Магазин 2;6;Да;Завершено
133;5/2/2014;Магазин 4;10;Да;Завершено
134;5/2/2014;Магазин 4;З/О;Да;Завершено
135;5/2/2014;Магазин 4;10;Да;Завершено
136;5/2/2014;Магазин 4;9;Да;Завершено
137;5/2/2014;Магазин 4;;;Отказ
138;5/1/2014;Магазин 3;9;Да;Завершено
139;5/1/2014;Магазин 1;;;Отказ
140;5/2/2014;Магазин 4;7;Да;Завершено
141;5/2/2014;Магазин 4;7;Да;Завершено
142;5/2/2014;Магазин 4;9;Да;Завершено
143;5/1/2014;Магазин 1;;;Отказ
144;5/2/2014;Магазин 2;7;Да;Завершено
145;5/2/2014;Магазин 4;10;Да;Завершено
146;5/2/2014;Магазин 4;10;Да;Завершено
147;5/1/2014;Магазин 1;9;Да;Завершено
